RCP26_ind,RCP26_land,RCP45_ind,RCP45_land,RCP60_ind,RCP60_land,RCP85_ind,RCP85_land
-3.34588488,1.97461758,15.3966501,0.14861964,51.03526584,0.73221018,104.91729066,0.4109586
-3.36802752,1.94122032,15.4004994,0.15565836,50.83004316,0.70981092,105.06514044,0.3680664
-3.39017016,1.90782306,15.4043487,0.16269708,50.62482048,0.68741166,105.21299022,0.3251742
-3.4123128,1.8744258,15.408198,0.1697358,50.4195978,0.6650124,105.36084,0.282282
-3.4123128,1.799448768,14.99709276,0.1629537,49.667833176,0.638411904,105.36084,0.27099072
-3.4123128,1.724471736,14.58598752,0.1561716,48.916068552,0.611811408,105.36084,0.25969944
-3.4123128,1.649494704,14.17488228,0.1493895,48.164303928,0.585210912,105.36084,0.24840816
-3.4123128,1.574517672,13.76377704,0.1426074,47.412539304,0.558610416,105.36084,0.23711688
-3.4123128,1.49954064,13.3526718,0.1358253,46.66077468,0.53200992,105.36084,0.2258256
-3.4123128,1.424563608,12.94156656,0.1290432,45.909010056,0.505409424,105.36084,0.21453432
-3.4123128,1.349586576,12.53046132,0.1222611,45.157245432,0.478808928,105.36084,0.20324304
-3.4123128,1.274609544,12.11935608,0.115479,44.405480808,0.452208432,105.36084,0.19195176
-3.4123128,1.199632512,11.70825084,0.1086969,43.653716184,0.425607936,105.36084,0.18066048
-3.4123128,1.12465548,11.2971456,0.1019148,42.90195156,0.39900744,105.36084,0.1693692
-3.4123128,1.049678448,11.00492874,0.09509604,42.150186936,0.372406944,105.36084,0.15807792
-3.4123128,0.974701416,10.71271188,0.08827728,41.398422312,0.345806448,105.36084,0.14678664
-3.4123128,0.899724384,10.42049502,0.08145852,40.646657688,0.319205952,105.36084,0.13549536
-3.4123128,0.824747352,10.12827816,0.07463976,39.894893064,0.292605456,105.36084,0.12420408
-3.4123128,0.74977032,9.8360613,0.067821,39.14312844,0.26600496,105.36084,0.1129128
-3.4123128,0.674793288,9.54384444,0.06100224,38.391363816,0.239404464,105.36084,0.10162152
-3.4123128,0.599816256,9.25162758,0.05418348,37.639599192,0.212803968,105.36084,0.09033024
-3.4123128,0.524839224,8.95941072,0.04736472,36.887834568,0.186203472,105.36084,0.07903896
-3.4123128,0.449862192,8.66719386,0.04054596,36.136069944,0.159602976,105.36084,0.06774768
-3.4123128,0.37488516,8.374977,0.0337272,35.38430532,0.13300248,105.36084,0.0564564
-3.4123128,0.299908128,8.2574817,0.03035448,34.632540696,0.106401984,105.36084,0.04516512
-3.4123128,0.224931096,8.1399864,0.02698176,33.880776072,0.079801488,105.36084,0.03387384
-3.4123128,0.149954064,8.0224911,0.02360904,33.129011448,0.053200992,105.36084,0.02258256
-3.4123128,0.074977032,7.9049958,0.02023632,32.377246824,0.026600496,105.36084,0.01129128
-3.4123128,0,7.7875005,0.0168636,31.6254822,0,105.36084,0
-3.4123128,0,7.6700052,0.01349088,30.8737131768,0,105.36084,0
-3.4123128,0,7.5525099,0.01011816,30.1219441536,0,105.36084,0
-3.4123128,0,7.4350146,0.00674544,29.3701747638,0,105.36084,0
-3.4123128,0,7.3175193,0.00337272,28.6184057406,0,105.36084,0
-3.4123128,0,7.200024,0,27.8666367174,0,105.36084,0
-3.4123128,0,7.10665098,0,27.1148676942,0,105.36084,0
-3.4123128,0,7.01327796,0,26.363098671,0,105.36084,0
-3.4123128,0,6.91990494,0,25.6113296478,0,105.36084,0
-3.4123128,0,6.82653192,0,24.859560258,0,105.36084,0
-3.4123128,0,6.7331589,0,24.1077912348,0,105.36084,0
-3.4123128,0,6.63978588,0,23.3560222116,0,105.36084,0
-3.4123128,0,6.54641286,0,22.6042531884,0,105.36084,0
-3.4123128,0,6.45303984,0,21.8524841652,0,105.36084,0
-3.4123128,0,6.35966682,0,21.100715142,0,105.36084,0
-3.4123128,0,6.2662938,0,20.3489457522,0,105.36084,0
-3.4123128,0,6.170382075,0,19.597176729,0,105.36084,0
-3.4123128,0,6.07447035,0,18.8454077058,0,105.36084,0
-3.4123128,0,5.978558625,0,18.0936386826,0,105.36084,0
-3.4123128,0,5.8826469,0,17.3418696594,0,105.36084,0
-3.4123128,0,5.786735175,0,16.5901006362,0,105.36084,0
-3.4123128,0,5.69082345,0,15.8383312464,0,105.36084,0
-3.4123128,0,5.594911725,0,15.0865622232,0,105.36084,0
-3.4123128,0,5.499,0,14.3347932,0,105.36084,0
-3.4123128,0,5.6287764,0,13.0795548,0,105.36084,0
-3.4123128,0,5.6705688,0,12.8537292,0,105.36084,0
-3.4123128,0,5.6936646,0,12.601875,0,104.37177153,0
-3.4123128,0,5.6995302,0,12.3606522,0,103.38270306,0
-3.4123128,0,5.6921982,0,12.1395924,0,102.39363459,0
-3.4123128,0,5.6757012,0,11.930997,0,101.40456612,0
-3.4123128,0,5.6526054,0,11.733033,0,100.415501316,0
-3.4123128,0,5.6177784,0,11.55757824,0,99.426432846,0
-3.4123128,0,5.5829514,0,11.38212348,0,98.437364376,0
-3.4123128,0,5.5481244,0,11.20666872,0,97.448295906,0
-3.4123128,0,5.5132974,0,11.03121396,0,96.459227436,0
-3.4123128,0,5.4784704,0,10.8557592,0,95.470158966,0
-3.4123128,0,5.43708126,0,10.70853264,0,94.481090496,0
